X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.241562256524,34.0529043768339,1529,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit,201 N Los  Angeles St,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (213) 978-2179,  Service/Intake and Administration (213) 978-2097, Sacramento Service/Intake (800) 777-9229,  TDD (213) 978-8310",www.lacity.org/atty,,,1351,The program provides victims of crime support for the city of Los Angeles.,90012,http://egis3.lacounty.gov/lms/?p=1351,publish,34.05290441,-118.2415622,,2013/06/01 11:50:56+00,,6488498.85293423,1841721.2479364
-118.273983055961,34.0430899666956,1891,211,,Public Safety,Crime Reporting and Investigation,,www.lausd.net,Los Angeles Unified School District - School Police Department,1330 W. Pico Blvd.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 7:00am to 5:00pm ","Office of the Chief of Police Administrative (213) 742-8222, Watch Commander - 24 Hours - Report crime Emergency (213) 625-6631",www.lausd.net,,,2050,"The district offers disaster services, employment and work experience and K-12 education.",90015,http://egis3.lacounty.gov/lms/?p=2050,publish,34.04309,-118.273983,,2013/06/01 11:50:56+00,,6478668.57371031,1838174.78980623
-118.244030456218,34.0523414071184,2457,211,,Public Safety,Crime Reporting and Investigation,,www.lapdonline.org,City Of Los Angeles Police Commission - Commission Investigation Division,100 W 1St St,Suite 147,Los Angeles,CA,,"Non-emergency Police Response (ASK LAPD) Dispatch TDD (877) 275-5273, Non ER Tow Truck Complaint Hotline 323-680-4TOW Service/Intake (323) 680-4869,  FAX (213) 996-1233,  Administrative (213) 996-1230",www.lapdonline.org,,,2714,The section enforces laws that regulate charitable solicitation and bingo activity in the city of Los Angeles.,90012,http://egis3.lacounty.gov/lms/?p=2714,publish,34.05234144,-118.2440304,,2013/06/01 11:50:56+00,,6487750.71597905,1841518.17878872
-118.213231326892,34.0605978365008,2483,211,,Public Safety,Crime Reporting and Investigation,,coroner.lacounty.gov,Los Angeles County Department Of Coroner,1104 N. Mission Rd.,,Los Angeles,CA,,"Records Service/Intake (323) 343-0512, Reporting Desk Service/Intake (323) 343-0711, 24 Hour Line Service/Intake (323) 343-0714",coroner.lacounty.gov,,,2741,This department provides coroner services for Los Angeles County and other agencies requesting assistance.,90033,http://egis3.lacounty.gov/lms/?p=2741,publish,34.06059787,-118.21323127,,2015/05/04 14:26:13+00,,6497086.48503713,1844501.62689006
-118.242188056355,34.0532639671343,2655,211,,Public Safety,Crime Reporting and Investigation,,www.atty.lacity.org/index.htm,City Of Los Angeles Office Of The City Attorney,200 N. Main St.,City Hall East| Rm. 800,Los Angeles,CA,,"Homeless Court Info Service/Intake (213) 485-5460, Neighborhood Reporting Line Message/Answering Service (213) 847-8045,  TDD (213) 978-8310,  Service/Intake (213) 978-8100,  FAX (213) 978-8312",www.atty.lacity.org/index.htm,,,2884,This agency offers law enforcement for the City of Los Angeles.,90012,http://egis3.lacounty.gov/lms/?p=2884,publish,34.053264,-118.242188,,2013/06/01 11:50:56+00,,6488309.60790588,1841852.56558715
-118.246910056274,34.0500829666467,2775,211,,Public Safety,Crime Reporting and Investigation,,www.ag.ca.gov/,California State Department Of Justice - Office Of The Attorney General - Los Angeles Office,300 S. Spring St.,,Los Angeles,CA,,Service/Intake (213) 897-2000,https://oag.ca.gov/home,,,2980,The office provides consumer assistance and crime prevention services for the State of California.,90013,http://egis3.lacounty.gov/lms/?p=2980,publish,34.050083,-118.24691,,2017/09/28 10:29:10+00,,6486876.43491922,1840698.42091382
-118.160122056274,33.9869739669216,3005,211,,Public Safety,Crime Reporting and Investigation,,www.ag.ca.gov/bne/,California State Department Of Justice - Bureau Of Narcotic Enforcement,5700 S. Eastern Ave.,,Los Angeles,CA,,"FAX (323) 838-2801,  Service/Intake (323) 869-6800",www.ag.ca.gov/bne/,,,3170,"The Bureau provides law enforcement to combat illegal drugs, illegal weapons and violent crime.",90040,http://egis3.lacounty.gov/lms/?p=3170,publish,33.986974,-118.160122,,2013/06/01 11:50:56+00,,6513129.61404005,1817678.58801655
-118.161979056718,33.9873309671642,3008,211,,Public Safety,Crime Reporting and Investigation,,www.dhcs.ca.gov,California State Department Of Health Care Services - Investigation Branch West,5701 S. Eastern Ave.,,Commerce,CA,,"24-Hr Medi-Cal Fraud Hotline Service/Intake (800) 822-6222, Investigations Section Administrative (323) 838-7000",www.dhcs.ca.gov,,,3171,The division provides crime prevention services in regard to Medi-Cal fraud for the state of California.,90040,http://egis3.lacounty.gov/lms/?p=3171,publish,33.987331,-118.161979,,2013/06/01 11:50:56+00,,6512566.87730464,1817809.40960531
-118.344970755973,34.1018539366282,3652,Current Services Locator,,Public Safety,Crime Reporting and Investigation,,LA County,Check Fraud & Restitution Program,7095 Hollywood Blvd.,Pmb 880,Hollywood,CA,"Monday through Friday, 8:00am to 8:00pm.",(800) 842-0733 (Hotline)<br>(800) 269-0206 (Check Writers),http://da.lacounty.gov/badcheck.htm,,,4458,Tracks Down Bad Check Writers And Recovers Losses For Their Victims.,90028,http://egis3.lacounty.gov/lms/?p=4458,publish,34.10185397,-118.3449707,,2010/11/01 19:50:56+00,,6457236.67956631,1859626.20753323
-118.239880056196,34.0528299766283,54127,211,,Public Safety,Crime Reporting and Investigation,,www.eeoc.gov/losangeles/index.html,United States Equal Employment Opportunity Commission - Los Angeles District Office,255 E Temple St,,Los Angeles,CA,,"FAX (213) 894-1118,  TDD (800) 669-6820,  Service/Intake (213) 669 - 3362  (213) 894-1000, To File a Charge Service/Intake and Administration (800) 669-4000",www.eeoc.gov/losangeles/index.html,,,56632,The agency provides law enforcement services regarding employment discrimination.,90012,http://egis3.lacounty.gov/lms/?p=56632,publish,34.05283001,-118.23988,,2013/08/13 15:18:31+00,,6489008.34174463,1841692.95206122
